assumption_set_id,component,phase,policy_year_from,policy_year_to,base_value,low_value,high_value,unit,frequency,is_structural_zero,force_at_year,effective_date,assumption_status,source_reference,notes
dynamic_proxy_2026-07-13_v2,lapse,growth,1,,0,0,0,annual_conditional_probability,monthly,true,false,2026-07-13,contractual_constraint,Product specification; projection product gate,Growth-phase Full Withdrawal is contractually prohibited; the behaviour rate is therefore structurally zero.
dynamic_proxy_2026-07-13_v2,lapse,income,1,,0.005,0.0025,0.0075,annual_conditional_probability,monthly,false,false,2026-07-13,uncalibrated_proxy,Repository legacy baseline; no internal experience data,Open-ended annual conditional Full-Withdrawal baseline in Income phase; uncalibrated proxy.
dynamic_proxy_2026-07-13_v2,income_take_up,growth,1,1,0,0,0,annual_conditional_probability,annual,false,false,2026-07-13,uncalibrated_proxy,Repository legacy IncomeTakeUp schedule; no internal experience data,Legacy zero voluntary take-up assumption in policy year 1; contractual eligibility is enforced separately by the product projection.
dynamic_proxy_2026-07-13_v2,income_take_up,growth,2,2,0.10,0.05,0.15,annual_conditional_probability,annual,false,false,2026-07-13,uncalibrated_proxy,Repository legacy IncomeTakeUp schedule; no internal experience data,Conditional annual voluntary take-up probability before the dynamic moneyness response.
dynamic_proxy_2026-07-13_v2,income_take_up,growth,3,3,0.15,0.075,0.225,annual_conditional_probability,annual,false,false,2026-07-13,uncalibrated_proxy,Repository legacy IncomeTakeUp schedule; no internal experience data,Conditional annual voluntary take-up probability before the dynamic moneyness response.
dynamic_proxy_2026-07-13_v2,income_take_up,growth,4,4,0.20,0.10,0.30,annual_conditional_probability,annual,false,false,2026-07-13,uncalibrated_proxy,Repository legacy IncomeTakeUp schedule; no internal experience data,Conditional annual voluntary take-up probability before the dynamic moneyness response.
dynamic_proxy_2026-07-13_v2,income_take_up,growth,5,5,0.25,0.125,0.375,annual_conditional_probability,annual,false,false,2026-07-13,uncalibrated_proxy,Repository legacy IncomeTakeUp schedule; no internal experience data,Conditional annual voluntary take-up probability before the dynamic moneyness response.
dynamic_proxy_2026-07-13_v2,income_take_up,growth,6,6,0.30,0.15,0.45,annual_conditional_probability,annual,false,false,2026-07-13,uncalibrated_proxy,Repository legacy IncomeTakeUp schedule; no internal experience data,Conditional annual voluntary take-up probability before the dynamic moneyness response.
dynamic_proxy_2026-07-13_v2,income_take_up,growth,7,7,0.30,0.15,0.45,annual_conditional_probability,annual,false,false,2026-07-13,uncalibrated_proxy,Repository legacy IncomeTakeUp schedule; no internal experience data,Conditional annual voluntary take-up probability before the dynamic moneyness response.
dynamic_proxy_2026-07-13_v2,income_take_up,growth,8,,0.30,0.15,0.45,annual_conditional_probability,annual,false,false,2026-07-13,uncalibrated_proxy,Repository legacy IncomeTakeUp schedule; no internal experience data,Open-ended voluntary conditional take-up baseline; no behavioural probability-one force is applied.
dynamic_proxy_2026-07-13_v2,free_withdrawal_utilisation,growth,1,,0,0,0,fraction_of_free_withdrawal_allowance,annual,true,false,2026-07-13,contractual_constraint,Product specification; projection product gate,Growth-phase partial withdrawals are contractually prohibited; free-withdrawal utilisation is structurally zero.
dynamic_proxy_2026-07-13_v2,excess_withdrawal_rate,all,1,,0.005,0,0.02,annual_fraction_of_investment_value,annual,false,false,2026-07-13,uncalibrated_proxy,NAIC QIS II section 7.5 supports order of magnitude; no internal calibration,Expected annual gross excess withdrawal as a fraction of current Investment Value; 0.5% is an uncalibrated cross-market proxy applied only where the product permits Income-phase withdrawals.
