curve_id,as_of_date,currency,curve_type,tenor_years,source_zero_yield_effective_percent,source_discount_factor,zero_rate_cc_decimal,source_compounding,engine_compounding,engine_time_basis,engine_interpolation,engine_extrapolation,point_status,source_provider,source_document,source_url,retrieved_at_utc,transformation,notes
aud_government_zero_2026-06-30,2026-06-30,AUD,nominal_australian_government_zero_coupon,1,4.46,0.9573,0.04363404,annual_effective,continuous,ACT_ACT_years,linear_in_zero_rate,flat_last_zero_rate_after_30y,official_fitted_zero_curve_converted,Australian Government Department of Finance,Leases - Zero Coupon Discount Rates as at 30 June 2026,https://www.finance.gov.au/sites/default/files/2026-07/leases-zero-coupon-bond-yields-as-at-30-june-2026.pdf,2026-07-12T12:06:10Z,ln(1+source_yield_percent/100),"Latest complete official 1-30Y curve found on 2026-07-12; source yields and discount factors are rounded; RBA observations through 2026-07-08 were used only as a plausibility check."
aud_government_zero_2026-06-30,2026-06-30,AUD,nominal_australian_government_zero_coupon,2,4.43,0.9169,0.04334680,annual_effective,continuous,ACT_ACT_years,linear_in_zero_rate,flat_last_zero_rate_after_30y,official_fitted_zero_curve_converted,Australian Government Department of Finance,Leases - Zero Coupon Discount Rates as at 30 June 2026,https://www.finance.gov.au/sites/default/files/2026-07/leases-zero-coupon-bond-yields-as-at-30-june-2026.pdf,2026-07-12T12:06:10Z,ln(1+source_yield_percent/100),"Latest complete official 1-30Y curve found on 2026-07-12; source yields and discount factors are rounded; RBA observations through 2026-07-08 were used only as a plausibility check."
aud_government_zero_2026-06-30,2026-06-30,AUD,nominal_australian_government_zero_coupon,3,4.43,0.8781,0.04334680,annual_effective,continuous,ACT_ACT_years,linear_in_zero_rate,flat_last_zero_rate_after_30y,official_fitted_zero_curve_converted,Australian Government Department of Finance,Leases - Zero Coupon Discount Rates as at 30 June 2026,https://www.finance.gov.au/sites/default/files/2026-07/leases-zero-coupon-bond-yields-as-at-30-june-2026.pdf,2026-07-12T12:06:10Z,ln(1+source_yield_percent/100),"Latest complete official 1-30Y curve found on 2026-07-12; source yields and discount factors are rounded; RBA observations through 2026-07-08 were used only as a plausibility check."
aud_government_zero_2026-06-30,2026-06-30,AUD,nominal_australian_government_zero_coupon,4,4.45,0.8401,0.04353830,annual_effective,continuous,ACT_ACT_years,linear_in_zero_rate,flat_last_zero_rate_after_30y,official_fitted_zero_curve_converted,Australian Government Department of Finance,Leases - Zero Coupon Discount Rates as at 30 June 2026,https://www.finance.gov.au/sites/default/files/2026-07/leases-zero-coupon-bond-yields-as-at-30-june-2026.pdf,2026-07-12T12:06:10Z,ln(1+source_yield_percent/100),"Latest complete official 1-30Y curve found on 2026-07-12; source yields and discount factors are rounded; RBA observations through 2026-07-08 were used only as a plausibility check."
aud_government_zero_2026-06-30,2026-06-30,AUD,nominal_australian_government_zero_coupon,5,4.49,0.8027,0.04392119,annual_effective,continuous,ACT_ACT_years,linear_in_zero_rate,flat_last_zero_rate_after_30y,official_fitted_zero_curve_converted,Australian Government Department of Finance,Leases - Zero Coupon Discount Rates as at 30 June 2026,https://www.finance.gov.au/sites/default/files/2026-07/leases-zero-coupon-bond-yields-as-at-30-june-2026.pdf,2026-07-12T12:06:10Z,ln(1+source_yield_percent/100),"Latest complete official 1-30Y curve found on 2026-07-12; source yields and discount factors are rounded; RBA observations through 2026-07-08 were used only as a plausibility check."
aud_government_zero_2026-06-30,2026-06-30,AUD,nominal_australian_government_zero_coupon,6,4.55,0.7656,0.04449524,annual_effective,continuous,ACT_ACT_years,linear_in_zero_rate,flat_last_zero_rate_after_30y,official_fitted_zero_curve_converted,Australian Government Department of Finance,Leases - Zero Coupon Discount Rates as at 30 June 2026,https://www.finance.gov.au/sites/default/files/2026-07/leases-zero-coupon-bond-yields-as-at-30-june-2026.pdf,2026-07-12T12:06:10Z,ln(1+source_yield_percent/100),"Latest complete official 1-30Y curve found on 2026-07-12; source yields and discount factors are rounded; RBA observations through 2026-07-08 were used only as a plausibility check."
aud_government_zero_2026-06-30,2026-06-30,AUD,nominal_australian_government_zero_coupon,7,4.62,0.7290,0.04516455,annual_effective,continuous,ACT_ACT_years,linear_in_zero_rate,flat_last_zero_rate_after_30y,official_fitted_zero_curve_converted,Australian Government Department of Finance,Leases - Zero Coupon Discount Rates as at 30 June 2026,https://www.finance.gov.au/sites/default/files/2026-07/leases-zero-coupon-bond-yields-as-at-30-june-2026.pdf,2026-07-12T12:06:10Z,ln(1+source_yield_percent/100),"Latest complete official 1-30Y curve found on 2026-07-12; source yields and discount factors are rounded; RBA observations through 2026-07-08 were used only as a plausibility check."
aud_government_zero_2026-06-30,2026-06-30,AUD,nominal_australian_government_zero_coupon,8,4.69,0.6931,0.04583342,annual_effective,continuous,ACT_ACT_years,linear_in_zero_rate,flat_last_zero_rate_after_30y,official_fitted_zero_curve_converted,Australian Government Department of Finance,Leases - Zero Coupon Discount Rates as at 30 June 2026,https://www.finance.gov.au/sites/default/files/2026-07/leases-zero-coupon-bond-yields-as-at-30-june-2026.pdf,2026-07-12T12:06:10Z,ln(1+source_yield_percent/100),"Latest complete official 1-30Y curve found on 2026-07-12; source yields and discount factors are rounded; RBA observations through 2026-07-08 were used only as a plausibility check."
aud_government_zero_2026-06-30,2026-06-30,AUD,nominal_australian_government_zero_coupon,9,4.76,0.6580,0.04650183,annual_effective,continuous,ACT_ACT_years,linear_in_zero_rate,flat_last_zero_rate_after_30y,official_fitted_zero_curve_converted,Australian Government Department of Finance,Leases - Zero Coupon Discount Rates as at 30 June 2026,https://www.finance.gov.au/sites/default/files/2026-07/leases-zero-coupon-bond-yields-as-at-30-june-2026.pdf,2026-07-12T12:06:10Z,ln(1+source_yield_percent/100),"Latest complete official 1-30Y curve found on 2026-07-12; source yields and discount factors are rounded; RBA observations through 2026-07-08 were used only as a plausibility check."
aud_government_zero_2026-06-30,2026-06-30,AUD,nominal_australian_government_zero_coupon,10,4.83,0.6239,0.04716980,annual_effective,continuous,ACT_ACT_years,linear_in_zero_rate,flat_last_zero_rate_after_30y,official_fitted_zero_curve_converted,Australian Government Department of Finance,Leases - Zero Coupon Discount Rates as at 30 June 2026,https://www.finance.gov.au/sites/default/files/2026-07/leases-zero-coupon-bond-yields-as-at-30-june-2026.pdf,2026-07-12T12:06:10Z,ln(1+source_yield_percent/100),"Latest complete official 1-30Y curve found on 2026-07-12; source yields and discount factors are rounded; RBA observations through 2026-07-08 were used only as a plausibility check."
aud_government_zero_2026-06-30,2026-06-30,AUD,nominal_australian_government_zero_coupon,11,4.90,0.5909,0.04783733,annual_effective,continuous,ACT_ACT_years,linear_in_zero_rate,flat_last_zero_rate_after_30y,official_fitted_zero_curve_converted,Australian Government Department of Finance,Leases - Zero Coupon Discount Rates as at 30 June 2026,https://www.finance.gov.au/sites/default/files/2026-07/leases-zero-coupon-bond-yields-as-at-30-june-2026.pdf,2026-07-12T12:06:10Z,ln(1+source_yield_percent/100),"Latest complete official 1-30Y curve found on 2026-07-12; source yields and discount factors are rounded; RBA observations through 2026-07-08 were used only as a plausibility check."
aud_government_zero_2026-06-30,2026-06-30,AUD,nominal_australian_government_zero_coupon,12,4.96,0.5593,0.04840914,annual_effective,continuous,ACT_ACT_years,linear_in_zero_rate,flat_last_zero_rate_after_30y,official_fitted_zero_curve_converted,Australian Government Department of Finance,Leases - Zero Coupon Discount Rates as at 30 June 2026,https://www.finance.gov.au/sites/default/files/2026-07/leases-zero-coupon-bond-yields-as-at-30-june-2026.pdf,2026-07-12T12:06:10Z,ln(1+source_yield_percent/100),"Latest complete official 1-30Y curve found on 2026-07-12; source yields and discount factors are rounded; RBA observations through 2026-07-08 were used only as a plausibility check."
aud_government_zero_2026-06-30,2026-06-30,AUD,nominal_australian_government_zero_coupon,13,5.02,0.5287,0.04898062,annual_effective,continuous,ACT_ACT_years,linear_in_zero_rate,flat_last_zero_rate_after_30y,official_fitted_zero_curve_converted,Australian Government Department of Finance,Leases - Zero Coupon Discount Rates as at 30 June 2026,https://www.finance.gov.au/sites/default/files/2026-07/leases-zero-coupon-bond-yields-as-at-30-june-2026.pdf,2026-07-12T12:06:10Z,ln(1+source_yield_percent/100),"Latest complete official 1-30Y curve found on 2026-07-12; source yields and discount factors are rounded; RBA observations through 2026-07-08 were used only as a plausibility check."
aud_government_zero_2026-06-30,2026-06-30,AUD,nominal_australian_government_zero_coupon,14,5.08,0.4997,0.04955178,annual_effective,continuous,ACT_ACT_years,linear_in_zero_rate,flat_last_zero_rate_after_30y,official_fitted_zero_curve_converted,Australian Government Department of Finance,Leases - Zero Coupon Discount Rates as at 30 June 2026,https://www.finance.gov.au/sites/default/files/2026-07/leases-zero-coupon-bond-yields-as-at-30-june-2026.pdf,2026-07-12T12:06:10Z,ln(1+source_yield_percent/100),"Latest complete official 1-30Y curve found on 2026-07-12; source yields and discount factors are rounded; RBA observations through 2026-07-08 were used only as a plausibility check."
aud_government_zero_2026-06-30,2026-06-30,AUD,nominal_australian_government_zero_coupon,15,5.13,0.4719,0.05002749,annual_effective,continuous,ACT_ACT_years,linear_in_zero_rate,flat_last_zero_rate_after_30y,official_fitted_zero_curve_converted,Australian Government Department of Finance,Leases - Zero Coupon Discount Rates as at 30 June 2026,https://www.finance.gov.au/sites/default/files/2026-07/leases-zero-coupon-bond-yields-as-at-30-june-2026.pdf,2026-07-12T12:06:10Z,ln(1+source_yield_percent/100),"Latest complete official 1-30Y curve found on 2026-07-12; source yields and discount factors are rounded; RBA observations through 2026-07-08 were used only as a plausibility check."
aud_government_zero_2026-06-30,2026-06-30,AUD,nominal_australian_government_zero_coupon,16,5.18,0.4460,0.05050298,annual_effective,continuous,ACT_ACT_years,linear_in_zero_rate,flat_last_zero_rate_after_30y,official_fitted_zero_curve_converted,Australian Government Department of Finance,Leases - Zero Coupon Discount Rates as at 30 June 2026,https://www.finance.gov.au/sites/default/files/2026-07/leases-zero-coupon-bond-yields-as-at-30-june-2026.pdf,2026-07-12T12:06:10Z,ln(1+source_yield_percent/100),"Latest complete official 1-30Y curve found on 2026-07-12; source yields and discount factors are rounded; RBA observations through 2026-07-08 were used only as a plausibility check."
aud_government_zero_2026-06-30,2026-06-30,AUD,nominal_australian_government_zero_coupon,17,5.22,0.4212,0.05088321,annual_effective,continuous,ACT_ACT_years,linear_in_zero_rate,flat_last_zero_rate_after_30y,official_fitted_zero_curve_converted,Australian Government Department of Finance,Leases - Zero Coupon Discount Rates as at 30 June 2026,https://www.finance.gov.au/sites/default/files/2026-07/leases-zero-coupon-bond-yields-as-at-30-june-2026.pdf,2026-07-12T12:06:10Z,ln(1+source_yield_percent/100),"Latest complete official 1-30Y curve found on 2026-07-12; source yields and discount factors are rounded; RBA observations through 2026-07-08 were used only as a plausibility check."
aud_government_zero_2026-06-30,2026-06-30,AUD,nominal_australian_government_zero_coupon,18,5.26,0.3974,0.05126329,annual_effective,continuous,ACT_ACT_years,linear_in_zero_rate,flat_last_zero_rate_after_30y,official_fitted_zero_curve_converted,Australian Government Department of Finance,Leases - Zero Coupon Discount Rates as at 30 June 2026,https://www.finance.gov.au/sites/default/files/2026-07/leases-zero-coupon-bond-yields-as-at-30-june-2026.pdf,2026-07-12T12:06:10Z,ln(1+source_yield_percent/100),"Latest complete official 1-30Y curve found on 2026-07-12; source yields and discount factors are rounded; RBA observations through 2026-07-08 were used only as a plausibility check."
aud_government_zero_2026-06-30,2026-06-30,AUD,nominal_australian_government_zero_coupon,19,5.30,0.3747,0.05164323,annual_effective,continuous,ACT_ACT_years,linear_in_zero_rate,flat_last_zero_rate_after_30y,official_fitted_zero_curve_converted,Australian Government Department of Finance,Leases - Zero Coupon Discount Rates as at 30 June 2026,https://www.finance.gov.au/sites/default/files/2026-07/leases-zero-coupon-bond-yields-as-at-30-june-2026.pdf,2026-07-12T12:06:10Z,ln(1+source_yield_percent/100),"Latest complete official 1-30Y curve found on 2026-07-12; source yields and discount factors are rounded; RBA observations through 2026-07-08 were used only as a plausibility check."
aud_government_zero_2026-06-30,2026-06-30,AUD,nominal_australian_government_zero_coupon,20,5.34,0.3530,0.05202303,annual_effective,continuous,ACT_ACT_years,linear_in_zero_rate,flat_last_zero_rate_after_30y,official_fitted_zero_curve_converted,Australian Government Department of Finance,Leases - Zero Coupon Discount Rates as at 30 June 2026,https://www.finance.gov.au/sites/default/files/2026-07/leases-zero-coupon-bond-yields-as-at-30-june-2026.pdf,2026-07-12T12:06:10Z,ln(1+source_yield_percent/100),"Latest complete official 1-30Y curve found on 2026-07-12; source yields and discount factors are rounded; RBA observations through 2026-07-08 were used only as a plausibility check."
aud_government_zero_2026-06-30,2026-06-30,AUD,nominal_australian_government_zero_coupon,21,5.38,0.3326,0.05240268,annual_effective,continuous,ACT_ACT_years,linear_in_zero_rate,flat_last_zero_rate_after_30y,official_fitted_zero_curve_converted,Australian Government Department of Finance,Leases - Zero Coupon Discount Rates as at 30 June 2026,https://www.finance.gov.au/sites/default/files/2026-07/leases-zero-coupon-bond-yields-as-at-30-june-2026.pdf,2026-07-12T12:06:10Z,ln(1+source_yield_percent/100),"Latest complete official 1-30Y curve found on 2026-07-12; source yields and discount factors are rounded; RBA observations through 2026-07-08 were used only as a plausibility check."
aud_government_zero_2026-06-30,2026-06-30,AUD,nominal_australian_government_zero_coupon,22,5.41,0.3137,0.05268732,annual_effective,continuous,ACT_ACT_years,linear_in_zero_rate,flat_last_zero_rate_after_30y,official_fitted_zero_curve_converted,Australian Government Department of Finance,Leases - Zero Coupon Discount Rates as at 30 June 2026,https://www.finance.gov.au/sites/default/files/2026-07/leases-zero-coupon-bond-yields-as-at-30-june-2026.pdf,2026-07-12T12:06:10Z,ln(1+source_yield_percent/100),"Latest complete official 1-30Y curve found on 2026-07-12; source yields and discount factors are rounded; RBA observations through 2026-07-08 were used only as a plausibility check."
