cap,cap_percent,selection_path_count,holdout_path_count,observed_control_action_path_count,selection_value_semantics,holdout_value_semantics,economically_active,is_optimal_first_year_cap,outer_fold_pure,outer_fold_count,csm_derived_from_components,selection_estimated_q_new_business_csm_proxy_aud,selection_standard_error_new_business_csm_proxy_aud,holdout_estimated_q_new_business_csm_proxy_aud,holdout_estimated_q_fees_product_aud,holdout_estimated_q_fees_lip_aud,holdout_estimated_q_crediting_margin_aud,holdout_estimated_q_mva_retained_aud,holdout_estimated_q_aps_retained_aud,holdout_estimated_q_guarantee_claims_aud,holdout_estimated_q_other_insurer_funded_benefits_aud,holdout_estimated_q_expenses_aud,holdout_estimated_q_hedge_costs_aud,holdout_standard_error_new_business_csm_proxy_aud
0.0025,0.25,208,208,208,outer-fold direct action-cell target under the frozen screened future policy; every complete path held out once,outer-fold direct target at realised next account value,True,True,True,5,True,86917.14736636332,1098.1692669055508,86917.14736636332,7541.178680790991,28907.851609698802,135889.9489967444,736.538615474646,0.0,47253.53551572952,0.0,9138.889344642035,29765.94567597396,1098.1692669055508
0.01,1.0,194,194,194,outer-fold direct action-cell target under the frozen screened future policy; every complete path held out once,outer-fold direct target at realised next account value,True,False,True,5,True,83927.95371225114,1053.5902585482033,83927.95371225114,7571.1779177525095,29022.84868471795,133936.84055459322,727.4248878822857,0.0,48059.87497376251,0.0,9160.830508680328,30109.632850251957,1053.5902585482033
0.02,2.0,203,203,203,outer-fold direct action-cell target under the frozen screened future policy; every complete path held out once,outer-fold direct target at realised next account value,True,False,True,5,True,85665.81639182358,1182.8509244510196,85665.81639182358,7637.648914193092,29277.65417107353,138011.0160534924,740.4458649824235,0.0,46757.50029499108,0.0,9157.075466535016,34086.372850391774,1182.8509244510196
0.03,3.0,195,195,195,outer-fold direct action-cell target under the frozen screened future policy; every complete path held out once,outer-fold direct target at realised next account value,True,False,True,5,True,81853.53696803698,1002.2909446470128,81853.53696803698,7690.460461699438,29480.098436514512,135517.75040652807,703.2701648346585,0.0,47833.91424443466,0.0,9190.403712938321,34513.72454416672,1002.2909446470128
0.04,4.0,212,212,212,outer-fold direct action-cell target under the frozen screened future policy; every complete path held out once,outer-fold direct target at realised next account value,True,False,True,5,True,81615.68904286569,1034.978157613344,81615.68904286569,7710.223081019422,29555.85514390779,136941.90596921145,707.9569437908883,0.0,47653.272636688045,0.0,9194.522826785576,36452.45663159023,1034.978157613344
0.05,5.0,200,200,200,outer-fold direct action-cell target under the frozen screened future policy; every complete path held out once,outer-fold direct target at realised next account value,True,False,True,5,True,81807.19434261933,1082.76763387421,81807.19434261933,7762.172964746195,29754.996364860417,137953.91487248364,715.5975812296228,0.0,47535.17010005454,0.0,9209.014160146653,37635.30318049936,1082.76763387421
0.060000000000000005,6.000000000000001,209,209,209,outer-fold direct action-cell target under the frozen screened future policy; every complete path held out once,outer-fold direct target at realised next account value,True,False,True,5,True,80942.63432872604,1203.0575986446095,80942.63432872604,7844.948452529399,30072.3024013627,138680.69419764052,698.2833889407812,0.0,47255.61753269051,0.0,9223.670967399788,39874.30561165707,1203.0575986446095
0.06999999999999999,6.999999999999999,204,204,204,outer-fold direct action-cell target under the frozen screened future policy; every complete path held out once,outer-fold direct target at realised next account value,True,False,True,5,True,81072.18811013125,1098.6102112368617,81072.18811013125,7866.922414262241,30156.5359213386,139168.47230101252,695.6228682170495,0.0,47454.440918885826,0.0,9236.92380868755,40124.0006671258,1098.6102112368617
0.08,8.0,195,195,195,outer-fold direct action-cell target under the frozen screened future policy; every complete path held out once,outer-fold direct target at realised next account value,True,False,True,5,True,82299.71161124832,961.3672425744429,82299.71161124832,7906.999311198739,30310.16402626183,141579.76143093637,704.9414227482182,0.0,46525.18302558704,0.0,9235.365063664109,42441.60649064571,961.3672425744429
0.09,9.0,204,204,204,outer-fold direct action-cell target under the frozen screened future policy; every complete path held out once,outer-fold direct target at realised next account value,True,False,True,5,True,82739.22250317853,1186.7724908468804,82739.22250317853,7904.045657930309,30298.84168873286,143102.3430268088,707.6056146462079,0.0,46679.40612716668,0.0,9236.24641989661,43357.96093787633,1186.7724908468804
