policy_year,cap,selected_fraction,mean_selected_cap,p10_selected_cap,median_selected_cap,p90_selected_cap,economically_active,mean_inforce_exposure,source,action_index,policy_role
1,0.0025,1.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,1.0,independent_direct_policy_rollout,0,validated_deployed_policy
1,0.01,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,1.0,independent_direct_policy_rollout,1,validated_deployed_policy
1,0.02,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,1.0,independent_direct_policy_rollout,2,validated_deployed_policy
1,0.03,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,1.0,independent_direct_policy_rollout,3,validated_deployed_policy
1,0.04,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,1.0,independent_direct_policy_rollout,4,validated_deployed_policy
1,0.05,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,1.0,independent_direct_policy_rollout,5,validated_deployed_policy
1,0.060000000000000005,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,1.0,independent_direct_policy_rollout,6,validated_deployed_policy
1,0.06999999999999999,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,1.0,independent_direct_policy_rollout,7,validated_deployed_policy
1,0.08,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,1.0,independent_direct_policy_rollout,8,validated_deployed_policy
1,0.09,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,1.0,independent_direct_policy_rollout,9,validated_deployed_policy
1,0.09999999999999999,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,1.0,independent_direct_policy_rollout,10,validated_deployed_policy
1,0.11,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,1.0,independent_direct_policy_rollout,11,validated_deployed_policy
1,0.12,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,1.0,independent_direct_policy_rollout,12,validated_deployed_policy
1,0.13,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,1.0,independent_direct_policy_rollout,13,validated_deployed_policy
1,0.14,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,1.0,independent_direct_policy_rollout,14,validated_deployed_policy
1,0.15000000000000002,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,1.0,independent_direct_policy_rollout,15,validated_deployed_policy
1,0.16,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,1.0,independent_direct_policy_rollout,16,validated_deployed_policy
1,0.17,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,1.0,independent_direct_policy_rollout,17,validated_deployed_policy
1,0.18000000000000002,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,1.0,independent_direct_policy_rollout,18,validated_deployed_policy
1,0.19,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,1.0,independent_direct_policy_rollout,19,validated_deployed_policy
1,0.2,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,1.0,independent_direct_policy_rollout,20,validated_deployed_policy
2,0.0025,1.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9915434138997478,independent_direct_policy_rollout,0,validated_deployed_policy
2,0.01,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9915434138997478,independent_direct_policy_rollout,1,validated_deployed_policy
2,0.02,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9915434138997478,independent_direct_policy_rollout,2,validated_deployed_policy
2,0.03,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9915434138997478,independent_direct_policy_rollout,3,validated_deployed_policy
2,0.04,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9915434138997478,independent_direct_policy_rollout,4,validated_deployed_policy
2,0.05,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9915434138997478,independent_direct_policy_rollout,5,validated_deployed_policy
2,0.060000000000000005,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9915434138997478,independent_direct_policy_rollout,6,validated_deployed_policy
2,0.06999999999999999,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9915434138997478,independent_direct_policy_rollout,7,validated_deployed_policy
2,0.08,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9915434138997478,independent_direct_policy_rollout,8,validated_deployed_policy
2,0.09,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9915434138997478,independent_direct_policy_rollout,9,validated_deployed_policy
2,0.09999999999999999,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9915434138997478,independent_direct_policy_rollout,10,validated_deployed_policy
2,0.11,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9915434138997478,independent_direct_policy_rollout,11,validated_deployed_policy
2,0.12,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9915434138997478,independent_direct_policy_rollout,12,validated_deployed_policy
2,0.13,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9915434138997478,independent_direct_policy_rollout,13,validated_deployed_policy
2,0.14,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9915434138997478,independent_direct_policy_rollout,14,validated_deployed_policy
2,0.15000000000000002,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9915434138997478,independent_direct_policy_rollout,15,validated_deployed_policy
2,0.16,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9915434138997478,independent_direct_policy_rollout,16,validated_deployed_policy
2,0.17,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9915434138997478,independent_direct_policy_rollout,17,validated_deployed_policy
2,0.18000000000000002,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9915434138997478,independent_direct_policy_rollout,18,validated_deployed_policy
2,0.19,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9915434138997478,independent_direct_policy_rollout,19,validated_deployed_policy
2,0.2,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9915434138997478,independent_direct_policy_rollout,20,validated_deployed_policy
3,0.0025,1.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9819599333077919,independent_direct_policy_rollout,0,validated_deployed_policy
3,0.01,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9819599333077919,independent_direct_policy_rollout,1,validated_deployed_policy
3,0.02,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9819599333077919,independent_direct_policy_rollout,2,validated_deployed_policy
3,0.03,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9819599333077919,independent_direct_policy_rollout,3,validated_deployed_policy
3,0.04,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.9819599333077919,independent_direct_policy_rollout,4,validated_deployed_policy
