crediting_cap_rate,crediting_cap_rate_percent,method,risk_metric,source_field,unit,adverse_direction,value,baseline_rate,baseline_value,delta_vs_baseline,finite_difference_scheme,finite_difference_lower_cap_rate,finite_difference_upper_cap_rate,finite_difference_span_bp,finite_difference_change_per_100bp,finite_difference_change_per_100bp_percentage_points,finite_difference_change_per_100bp_as_percent_of_premium,adverse_finite_difference_change_per_100bp,finite_difference_change_as_fraction_of_current_value
0.0025,0.25,dynamic,pv_policyholder_benefits_aud,dynamic_pv_policyholder_benefits_aud,AUD,diagnostic,257031.112978381,0.06,315642.99838151643,-58611.88540313544,forward_secant,0.0025,0.01,75.0,10638.718244597007,,3.1570566623330527,,0.04139077997725448
0.01,1.0,dynamic,pv_policyholder_benefits_aud,dynamic_pv_policyholder_benefits_aud,AUD,diagnostic,265010.15166182874,0.06,315642.99838151643,-50632.84671968769,bracketing_secant,0.0025,0.06,575.0,10193.371374458338,,3.0248992660100043,,0.03846407886844193
0.06,6.0,dynamic,pv_policyholder_benefits_aud,dynamic_pv_policyholder_benefits_aud,AUD,diagnostic,315642.99838151643,0.06,315642.99838151643,0.0,bracketing_secant,0.01,0.12,1100.0,7272.460576993879,,2.158114313048311,,0.023040145399340316
0.12,12.0,dynamic,pv_policyholder_benefits_aud,dynamic_pv_policyholder_benefits_aud,AUD,diagnostic,345007.2180087614,0.06,315642.99838151643,29364.21962724498,backward_secant,0.06,0.12,600.0,4894.03660454083,,1.4523131934539482,,0.01418531656464227
0.0025,0.25,dynamic,pv_policyholder_benefits_pre_election_aud,dynamic_pv_policyholder_benefits_pre_election_aud,AUD,diagnostic,20048.172301372055,0.06,25793.80369232516,-5745.631390953105,forward_secant,0.0025,0.01,75.0,843.6443413419379,,0.25035280822723166,,0.04208086047246315
0.01,1.0,dynamic,pv_policyholder_benefits_pre_election_aud,dynamic_pv_policyholder_benefits_pre_election_aud,AUD,diagnostic,20680.905557378508,0.06,25793.80369232516,-5112.898134946652,bracketing_secant,0.0025,0.06,575.0,999.240241904888,,0.29652614069173666,,0.048317044876614715
0.06,6.0,dynamic,pv_policyholder_benefits_pre_election_aud,dynamic_pv_policyholder_benefits_pre_election_aud,AUD,diagnostic,25793.80369232516,0.06,25793.80369232516,0.0,bracketing_secant,0.01,0.12,1100.0,702.8785990370379,,0.208580348955868,,0.027249901077838184
0.12,12.0,dynamic,pv_policyholder_benefits_pre_election_aud,dynamic_pv_policyholder_benefits_pre_election_aud,AUD,diagnostic,28412.570146785925,0.06,25793.80369232516,2618.766454460765,backward_secant,0.06,0.12,600.0,436.4610757434609,,0.12952052261791433,,0.015361548550117142
0.0025,0.25,dynamic,pv_policyholder_benefits_post_election_aud,dynamic_pv_policyholder_benefits_post_election_aud,AUD,diagnostic,236982.94067700897,0.06,289849.19468919124,-52866.25401218227,forward_secant,0.0025,0.01,75.0,9795.073903255048,,2.906703854105815,,0.04133240086933111
0.01,1.0,dynamic,pv_policyholder_benefits_post_election_aud,dynamic_pv_policyholder_benefits_post_election_aud,AUD,diagnostic,244329.24610445026,0.06,289849.19468919124,-45519.94858474098,bracketing_secant,0.0025,0.06,575.0,9194.131132553439,,2.728373125318264,,0.037630088412023206
0.06,6.0,dynamic,pv_policyholder_benefits_post_election_aud,dynamic_pv_policyholder_benefits_post_election_aud,AUD,diagnostic,289849.19468919124,0.06,289849.19468919124,0.0,bracketing_secant,0.01,0.12,1100.0,6569.581977956844,,1.9495339640924438,,0.022665517442618688
0.12,12.0,dynamic,pv_policyholder_benefits_post_election_aud,dynamic_pv_policyholder_benefits_post_election_aud,AUD,diagnostic,316594.64786197554,0.06,289849.19468919124,26745.4531727843,backward_secant,0.06,0.12,600.0,4457.575528797383,,1.322792670836038,,0.014079756429555102
0.0025,0.25,dynamic,pv_guarantee_claims_aud,dynamic_pv_guarantee_claims_aud,AUD,higher_is_adverse,68698.33018784663,0.06,56928.72381528938,11769.606372557253,forward_secant,0.0025,0.01,75.0,-1411.8707189931497,,-0.4189748950268515,-1411.8707189931497,-0.020551747256921285
0.01,1.0,dynamic,pv_guarantee_claims_aud,dynamic_pv_guarantee_claims_aud,AUD,higher_is_adverse,67639.42714860177,0.06,56928.72381528938,10710.70333331239,bracketing_secant,0.0025,0.06,575.0,-2046.888064792566,,-0.6074173084981597,-2046.888064792566,-0.030261759318209704
0.06,6.0,dynamic,pv_guarantee_claims_aud,dynamic_pv_guarantee_claims_aud,AUD,higher_is_adverse,56928.72381528938,0.06,56928.72381528938,0.0,bracketing_secant,0.01,0.12,1100.0,-1938.3885560231865,,-0.5752199056583772,-1938.3885560231865,-0.03404939415667337
0.12,12.0,dynamic,pv_guarantee_claims_aud,dynamic_pv_guarantee_claims_aud,AUD,higher_is_adverse,46317.153032346716,0.06,56928.72381528938,-10611.570782942661,backward_secant,0.06,0.12,600.0,-1768.5951304904436,,-0.5248334349413117,-1768.5951304904436,-0.038184452512772145
0.0025,0.25,dynamic,guarantee_value_aud,dynamic_guarantee_value_aud,AUD,higher_is_adverse,41691.65342118525,0.06,21833.594328155108,19858.05909303014,forward_secant,0.0025,0.01,75.0,-2810.96617468592,,-0.8341587102273335,-2810.96617468592,-0.06742275597200355
0.01,1.0,dynamic,guarantee_value_aud,dynamic_guarantee_value_aud,AUD,higher_is_adverse,39583.42879017081,0.06,21833.594328155108,17749.8344620157,bracketing_secant,0.0025,0.06,575.0,-3453.5754944400246,,-1.024854054117781,-3453.5754944400246,-0.08724801261525889
0.06,6.0,dynamic,guarantee_value_aud,dynamic_guarantee_value_aud,AUD,higher_is_adverse,21833.594328155108,0.06,21833.594328155108,0.0,bracketing_secant,0.01,0.12,1100.0,-3010.335779292816,,-0.8933219594101535,-3010.335779292816,-0.13787632645582742
0.12,12.0,dynamic,guarantee_value_aud,dynamic_guarantee_value_aud,AUD,higher_is_adverse,6469.735217949837,0.06,21833.594328155108,-15363.85911020527,backward_secant,0.06,0.12,600.0,-2560.643185034212,,-0.7598749625008243,-2560.643185034212,-0.39578794166566245
0.0025,0.25,dynamic,pv_future_fees_aud,dynamic_pv_future_fees_aud,AUD,lower_is_adverse,34051.89679274696,0.06,44250.38065769104,-10198.483864944086,forward_secant,0.0025,0.01,75.0,1764.076878916967,,0.5234926365571281,-1764.076878916967,0.051805539340549
0.01,1.0,dynamic,pv_future_fees_aud,dynamic_pv_future_fees_aud,AUD,lower_is_adverse,35374.95445193468,0.06,44250.38065769104,-8875.426205756361,bracketing_secant,0.0025,0.06,575.0,1773.6493678163629,,0.5263332879551755,-1773.6493678163629,0.050138562587445555
0.06,6.0,dynamic,pv_future_fees_aud,dynamic_pv_future_fees_aud,AUD,lower_is_adverse,44250.38065769104,0.06,44250.38065769104,0.0,bracketing_secant,0.01,0.12,1100.0,1351.5856293399677,,0.40108519820876143,-1351.5856293399677,0.03054404525455878
0.12,12.0,dynamic,pv_future_fees_aud,dynamic_pv_future_fees_aud,AUD,lower_is_adverse,50242.396374674325,0.06,44250.38065769104,5992.015716983282,backward_secant,0.06,0.12,600.0,998.6692861638803,,0.2963567086619937,-998.6692861638803,0.019877023355264943
0.0025,0.25,dynamic,pv_crediting_margin_aud,dynamic_pv_crediting_margin_aud,AUD,lower_is_adverse,113457.53394179883,0.06,151371.6732871755,-37914.13934537668,forward_secant,0.0025,0.01,75.0,6469.213944780506,,1.9197495896462506,-6469.213944780506,0.057018813295369765
0.01,1.0,dynamic,pv_crediting_margin_aud,dynamic_pv_crediting_margin_aud,AUD,lower_is_adverse,118309.4444003842,0.06,151371.6732871755,-33062.2288867913,bracketing_secant,0.0025,0.06,575.0,6593.763364413337,,1.9567098292165805,-6593.763364413337,0.055733195247698444
0.06,6.0,dynamic,pv_crediting_margin_aud,dynamic_pv_crediting_margin_aud,AUD,lower_is_adverse,151371.6732871755,0.06,151371.6732871755,0.0,bracketing_secant,0.01,0.12,1100.0,5112.2642601190155,,1.5170725994376837,-5112.2642601190155,0.03377292560161014
0.12,12.0,dynamic,pv_crediting_margin_aud,dynamic_pv_crediting_margin_aud,AUD,lower_is_adverse,174544.35126169337,0.06,151371.6732871755,23172.677974517865,backward_secant,0.06,0.12,600.0,3862.1129957529774,,1.1460882113423119,-3862.1129957529774,0.022126828899564518
0.0025,0.25,dynamic,pv_money_market_income_aud,dynamic_pv_money_market_income_aud,AUD,lower_is_adverse,113457.53394179883,0.06,151371.6732871755,-37914.13934537668,forward_secant,0.0025,0.01,75.0,6469.213944780506,,1.9197495896462506,-6469.213944780506,0.057018813295369765
0.01,1.0,dynamic,pv_money_market_income_aud,dynamic_pv_money_market_income_aud,AUD,lower_is_adverse,118309.4444003842,0.06,151371.6732871755,-33062.2288867913,bracketing_secant,0.0025,0.06,575.0,6593.763364413337,,1.9567098292165805,-6593.763364413337,0.055733195247698444
0.06,6.0,dynamic,pv_money_market_income_aud,dynamic_pv_money_market_income_aud,AUD,lower_is_adverse,151371.6732871755,0.06,151371.6732871755,0.0,bracketing_secant,0.01,0.12,1100.0,5112.2642601190155,,1.5170725994376837,-5112.2642601190155,0.03377292560161014
0.12,12.0,dynamic,pv_money_market_income_aud,dynamic_pv_money_market_income_aud,AUD,lower_is_adverse,174544.35126169337,0.06,151371.6732871755,23172.677974517865,backward_secant,0.06,0.12,600.0,3862.1129957529774,,1.1460882113423119,-3862.1129957529774,0.022126828899564518
0.0025,0.25,dynamic,pv_hedge_gain_aud,dynamic_pv_hedge_gain_aud,AUD,lower_is_adverse,0.0,0.06,0.0,0.0,forward_secant,0.0025,0.01,75.0,0.0,,0.0,-0.0,
0.01,1.0,dynamic,pv_hedge_gain_aud,dynamic_pv_hedge_gain_aud,AUD,lower_is_adverse,0.0,0.06,0.0,0.0,bracketing_secant,0.0025,0.06,575.0,0.0,,0.0,-0.0,
0.06,6.0,dynamic,pv_hedge_gain_aud,dynamic_pv_hedge_gain_aud,AUD,lower_is_adverse,0.0,0.06,0.0,0.0,bracketing_secant,0.01,0.12,1100.0,0.0,,0.0,-0.0,
0.12,12.0,dynamic,pv_hedge_gain_aud,dynamic_pv_hedge_gain_aud,AUD,lower_is_adverse,0.0,0.06,0.0,0.0,backward_secant,0.06,0.12,600.0,0.0,,0.0,-0.0,
0.0025,0.25,dynamic,pv_growth_fees_aud,dynamic_pv_growth_fees_aud,AUD,diagnostic,20253.2468419341,0.06,23279.699831607813,-3026.452989673715,forward_secant,0.0025,0.01,75.0,616.822199701351,,0.1830429747522507,,0.03045547237513682
0.01,1.0,dynamic,pv_growth_fees_aud,dynamic_pv_growth_fees_aud,AUD,diagnostic,20715.86349171011,0.06,23279.699831607813,-2563.8363398977017,bracketing_secant,0.0025,0.06,575.0,526.3396503780374,,0.15619213345742453,,0.025407565105295432
0.06,6.0,dynamic,pv_growth_fees_aud,dynamic_pv_growth_fees_aud,AUD,diagnostic,23279.699831607813,0.06,23279.699831607813,0.0,bracketing_secant,0.01,0.12,1100.0,357.0915246027018,,0.10596748131591589,,0.015339180796389127
