cap,cap_percent,anchored_time_zero_csm,anchored_time_zero_mll_capital,anchored_time_zero_csm_to_mll_ratio,policy_class_support_value,observed_exploration_path_count,selected_by_best_adaptive_candidate,selected_by_contractual_flexibility_value,fixed_floor_binding,estimator,oos
0.0025,0.25,100812.02853434886,40324.811413739546,2.5,109759.19236647768,208,True,True,False,fixed_anchored_full_sample_action_cell_mean,False
0.01,1.0,98100.73580835172,39240.29432334069,2.4999999999999996,106669.28073934096,194,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.02,2.0,98245.91834321377,39298.367337285505,2.5,106314.72874228105,203,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.03,3.0,96279.53795326658,38511.815181306636,2.5,103825.64016293417,195,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.04,4.0,96472.20224020514,38588.88089608205,2.5,103552.82624915506,212,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.05,5.0,96695.99005702505,38678.39602281002,2.5,103096.04004472961,200,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.06,6.0,94744.31169118617,37897.72467647447,2.5,100943.58689768969,209,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.07,7.000000000000001,95131.12380861188,38052.44952344475,2.5,100951.94391719921,204,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.08,8.0,95707.27970141747,38282.91188056699,2.4999999999999996,101034.69493038657,195,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.09,9.0,95568.62945966075,38227.4517838643,2.5,101265.10819663873,204,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.1,10.0,94065.77517624109,37626.31007049644,2.5,99300.83825141033,200,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.11,11.0,93688.80296272512,37475.52118509005,2.5,99492.04799260685,201,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.12,12.0,94482.35021606034,37792.94008642414,2.4999999999999996,99834.51751176271,197,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.13,13.0,95843.33341537682,38337.33336615073,2.5,101553.14450530418,205,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.14,14.000000000000002,94860.7568654029,37944.302746161164,2.5,100531.6539913189,212,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.15,15.0,95339.64898180972,38135.859592723886,2.5,100600.70647512967,197,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.16,16.0,96005.41604896967,38402.16641958787,2.5,101834.54288445678,194,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.17,17.0,95143.67750934638,38057.47100373855,2.5,101025.83627697581,192,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.18,18.0,96003.05770939846,38401.22308375939,2.4999999999999996,101487.62014019901,185,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.19,19.0,95947.49017183614,38378.99606873446,2.5,101721.29525255432,198,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.2,20.0,93968.43894788346,37587.375579153384,2.5,99612.41262983273,195,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
