policy_class_name,policy_class_index,first_year_cap,raw_lsmc_csm,anchored_csm,anchored_mll_capital,anchored_csm_to_mll_ratio,csm_floor_satisfied,candidate_status,uses_all_paths,oos,selected_adaptive_policy_class,adaptive_policy_selected,fixed_floor_binding
direct_fixed_anchor,0,0.0025,32669.28363534275,52151.27009719935,25057.480077303102,2.0812655516959833,True,fixed_floor,True,False,,,
conditional_ratio_heuristic,0,0.0025,60544.46895846001,80026.45542031663,38343.951397174795,2.0870685598201812,True,admissible,True,False,,,
base_csm,1,0.0025,84358.39420155325,103840.38066340989,45213.133927701914,2.2966861980736817,True,admissible,True,False,,,
base_stress_mix_alpha_0.25::mortality_stressed_csm,2,0.0025,83953.92408976617,103435.91055162271,44262.770818669465,2.336860269669218,True,admissible,True,False,,,
base_stress_mix_alpha_0.25::longevity_stressed_csm,3,0.0025,83514.11053047488,102996.09699233147,41336.64339258542,2.491641520433803,True,admissible,True,False,,,
base_stress_mix_alpha_0.25::lapse_up_stressed_csm,4,0.0025,83985.43618554217,103467.42264739881,43795.52468542772,2.362511315724138,True,admissible,True,False,,,
base_stress_mix_alpha_0.25::lapse_down_stressed_csm,5,0.0025,84088.82472790773,103570.8111897643,44670.561982464525,2.318547307070395,True,admissible,True,False,,,
base_stress_mix_alpha_0.25::balanced_four_stress_csm,6,0.0025,83968.5120600739,103450.49852193054,42878.48864344933,2.4126433042489004,True,admissible,True,False,,,
base_stress_mix_alpha_0.50::mortality_stressed_csm,7,0.0025,82586.59310620476,102068.57956806138,43298.33427008499,2.3573327077984385,True,admissible,True,False,,,
base_stress_mix_alpha_0.50::longevity_stressed_csm,8,0.0025,79194.14828468775,98676.13474654433,39470.453898617736,2.4999999999999996,True,admissible,True,False,,,
base_stress_mix_alpha_0.50::lapse_up_stressed_csm,9,0.0025,77279.76954035794,96761.7560022146,44248.3846322434,2.186786180024868,True,admissible,True,False,,,
base_stress_mix_alpha_0.50::lapse_down_stressed_csm,10,0.0025,77259.28517101749,96741.2716328741,42574.65636308096,2.272273692777571,True,admissible,True,False,,,
base_stress_mix_alpha_0.50::balanced_four_stress_csm,11,0.0025,81330.04207249227,100812.02853434886,40324.811413739546,2.5,True,admissible,True,False,,,
base_stress_mix_alpha_0.75::mortality_stressed_csm,12,0.0025,58884.399359586256,78366.38582144286,35690.324659272694,2.1957319405073696,True,admissible,True,False,,,
base_stress_mix_alpha_0.75::longevity_stressed_csm,13,0.0025,20610.846246569534,40092.83270842617,16037.133083370469,2.5,False,discarded_below_fixed_csm_floor,True,False,,,
base_stress_mix_alpha_0.75::lapse_up_stressed_csm,14,0.0025,44376.11619032339,63858.102652179965,25938.88918489557,2.461867283405685,True,admissible,True,False,,,
base_stress_mix_alpha_0.75::lapse_down_stressed_csm,15,0.0025,41415.78361664964,60897.77007850622,24359.108031402488,2.5,True,admissible,True,False,,,
base_stress_mix_alpha_0.75::balanced_four_stress_csm,16,0.0025,54240.51480745734,73722.50126931389,29489.000507725556,2.5,True,admissible,True,False,,,
base_stress_mix_alpha_1.00::mortality_stressed_csm,17,0.0025,3714.646494798333,23196.63295665494,10606.693121299422,2.186980682044389,False,discarded_below_fixed_csm_floor,True,False,,,
base_stress_mix_alpha_1.00::longevity_stressed_csm,18,0.0025,-6301.339129332453,13180.647332524153,5272.258933009662,2.5,False,discarded_below_fixed_csm_floor,True,False,,,
base_stress_mix_alpha_1.00::lapse_up_stressed_csm,19,0.0025,12907.08810207875,32389.07456393534,12955.629825574137,2.5,False,discarded_below_fixed_csm_floor,True,False,,,
base_stress_mix_alpha_1.00::lapse_down_stressed_csm,20,0.0025,7369.56195071229,26851.54841256891,10740.619365027565,2.4999999999999996,False,discarded_below_fixed_csm_floor,True,False,,,
base_stress_mix_alpha_1.00::balanced_four_stress_csm,21,0.0025,3155.395303408499,22637.38176526509,9054.952706106036,2.5,False,discarded_below_fixed_csm_floor,True,False,,,
selected_contractual_flexibility_value,11,0.0025,,100812.02853434886,40324.811413739546,2.5,True,selected,True,False,base_stress_mix_alpha_0.50::balanced_four_stress_csm,True,False
