case,cap,cap_percent,definition,pv_product_fees_aud,pv_lip_fees_aud,pv_fee_income_aud,pv_future_fees_aud,pv_crediting_margin_aud,pv_money_market_income_aud,pv_hedge_gain_aud,pv_mva_retained_aud,pv_aps_retained_aud,pv_other_income_aud,pv_other_insurer_margins_aud,pv_total_insurer_inflows_aud,pv_guarantee_claims_aud,pv_other_insurer_funded_benefits_aud,pv_claims_aud,pv_total_insurer_funded_benefits_aud,pv_expenses_aud,pv_hedge_costs_aud,pv_costs_aud,pv_total_costs_aud,estimated_new_business_csm_proxy_aud,standard_error_new_business_csm_proxy_aud,new_business_csm_component_reconciliation_gap_aud,new_business_csm_component_reconciliation_max_absolute_aud,crediting_margin_reconciliation_gap_aud,crediting_margin_reconciliation_max_absolute_aud,pv_terminal_closeout_excluded_aud,pv_policyholder_benefits_aud,pv_policyholder_income_aud,pv_policyholder_death_benefits_aud,pv_policyholder_surrender_benefits_aud,pv_policyholder_partial_withdrawals_aud,expected_cumulative_full_surrender_probability,expected_cumulative_full_surrenders_scaled_contract_count,new_business_csm_difference_vs_best_fixed_admissible_aud,paired_standard_error_new_business_csm_difference_vs_best_fixed_aud,is_best_fixed_cap_admissible_grid,n_common_random_number_paths,hedge_pricing_method,hedge_price_surface_fingerprint,policyholder_behaviour,valuation_basis,oos_used,time_zero_csm_aud,time_zero_mll_capital_aud,time_zero_csm_to_mll_ratio,mll_capital_charge_rate,time_zero_csm_minus_lambda_mll_aud,is_best_fixed_cap_primary_objective,time_zero_csm_minus_lambda_mll_difference_vs_best_fixed_aud,time_zero_path_count,sample_basis,time_zero_mortality_stressed_csm_aud,time_zero_longevity_stressed_csm_aud,time_zero_lapse_up_stressed_csm_aud,time_zero_lapse_down_stressed_csm_aud,time_zero_mortality_loss_aud,time_zero_longevity_loss_aud,time_zero_lapse_loss_aud,time_zero_lapse_up_loss_aud,time_zero_lapse_down_loss_aud,time_zero_mass_lapse_loss_aud,time_zero_binding_lapse_stress,time_zero_mll_framework,time_zero_mass_lapse_method
fixed_cap_0.25pct,0.0025,0.25,same 0.25% cap in every crediting year,6862.481959463519,26306.180844610157,33168.662804073676,33168.662804073676,110552.60029898523,110552.60029898523,0.0,797.5335099097028,0.0,111350.13380889493,111350.13380889493,144518.7966129686,71008.58755199493,0.0,71008.58755199493,71008.58755199493,8939.384871080772,12419.554092693556,21358.93896377433,21358.93896377433,52151.27009719935,693.9509907025825,2.3056773421731557e-13,8.731149137020111e-11,0.0,0.0,0.0,246397.58278216684,209484.42333734428,16674.597809833685,16162.690801207018,4075.8708337818753,0.1310986264408254,0.1310986264408254,0.0,0.0,True,4200,mc_conditional,b04e9c4af12217279839cd966b8ea22435f696dda9d6fcab7637de9d511d164f,dynamic,risk_neutral_time_zero_current_curve,False,52151.27009719935,25057.480077303102,2.0812655516959833,0.06,50647.82129256116,True,0.0,4200,common_time_zero_q_sample,58845.58415148169,42536.89738805533,55782.67829775095,48181.97382718561,0.0,9614.372709144016,20860.50803887974,0.0,3969.296270013736,20860.50803887974,mass_lapse,MLL_LIFE_RISK_RESEARCH_PROXY_NOT_REGULATORY_CAPITAL,positive_model_point_csm_proxy_not_revaluation
fixed_cap_1pct,0.01,1.0,same 1% cap in every crediting year,7131.807119714263,27338.593958904672,34470.40107861894,34470.40107861894,115295.73483334613,115295.73483334613,0.0,770.2204537320723,0.0,116065.95528707819,116065.95528707819,150536.35636569714,69994.21084390467,0.0,69994.21084390467,69994.21084390467,8997.829899294387,27859.71731780525,36857.547217099636,36857.547217099636,43684.59830469281,683.5056761075366,-5.165171993818755e-13,7.275957614183426e-11,0.0,0.0,0.0,254172.94112609563,216124.61953103574,17723.034881827207,15929.354979901638,4395.931733331042,0.1258067141133496,0.1258067141133496,-8466.671792506533,70.095859813597,False,4200,mc_conditional,b04e9c4af12217279839cd966b8ea22435f696dda9d6fcab7637de9d511d164f,dynamic,risk_neutral_time_zero_current_curve,False,43684.59830469281,21872.82006088515,1.9972092388220826,0.06,42372.2291010397,False,-8275.592191521457,4200,common_time_zero_q_sample,50366.35215898396,34190.567808402455,47150.26188490325,39911.71722063576,0.0,9494.030496290354,17473.839321877123,0.0,3772.8810840570513,17473.839321877123,mass_lapse,MLL_LIFE_RISK_RESEARCH_PROXY_NOT_REGULATORY_CAPITAL,positive_model_point_csm_proxy_not_revaluation
fixed_cap_2pct,0.02,2.0,same 2% cap in every crediting year,7511.020582860717,28792.24556763275,36303.26615049347,36303.26615049347,122034.85598835598,122034.85598835598,0.0,722.896647260773,0.0,122757.75263561675,122757.75263561675,159061.0187861102,68329.15946191302,0.0,68329.15946191302,68329.15946191302,9080.451402957004,49221.65511219195,58302.10651514895,58302.10651514895,32429.752809048237,672.141731126444,-4.0602442043434294e-15,7.275957614183426e-11,0.0,0.0,0.0,264461.6814835004,224966.65896599757,19257.456091952874,15385.125312624485,4852.441112925485,0.11772242387814529,0.11772242387814529,-19721.5172881511,128.61331233111343,False,4200,mc_conditional,b04e9c4af12217279839cd966b8ea22435f696dda9d6fcab7637de9d511d164f,dynamic,risk_neutral_time_zero_current_curve,False,32429.752809048237,17824.595482558336,1.8193822597983382,0.06,31360.277080094736,False,-19287.544212466422,4200,common_time_zero_q_sample,38892.9577846734,23025.08506730085,35639.201595434715,28956.927947209486,0.0,9404.667741747387,12971.901123619296,0.0,3472.8248618387515,12971.901123619296,mass_lapse,MLL_LIFE_RISK_RESEARCH_PROXY_NOT_REGULATORY_CAPITAL,positive_model_point_csm_proxy_not_revaluation
fixed_cap_3pct,0.03,3.0,same 3% cap in every crediting year,7898.775281042311,30278.638577328857,38177.41385837116,38177.41385837116,129007.38527231404,129007.38527231404,0.0,672.9061160854103,0.0,129680.29138839943,129680.29138839943,167857.7052467706,66350.80900015723,0.0,66350.80900015723,66350.80900015723,9164.727402816345,71122.64220718427,80287.3696100006,80287.3696100006,21219.526636612747,659.8521434761544,-2.5920599000528453e-13,8.731149137020111e-11,0.0,0.0,0.0,274672.98586107435,233746.98038467823,20895.32729684621,14689.943242315792,5340.73493723414,0.10922903641657113,0.10922903641657113,-30931.743460586596,178.15989698742135,False,4200,mc_conditional,b04e9c4af12217279839cd966b8ea22435f696dda9d6fcab7637de9d511d164f,dynamic,risk_neutral_time_zero_current_curve,False,21219.526636612747,14024.06970366659,1.513079090805211,0.06,20378.082454392752,False,-30269.738838168407,4200,common_time_zero_q_sample,27452.525998854584,11977.752602970384,24156.35185167625,18061.799200109654,0.0,9241.774033642363,8487.8106546451,0.0,3157.7274365030935,8487.8106546451,mass_lapse,MLL_LIFE_RISK_RESEARCH_PROXY_NOT_REGULATORY_CAPITAL,positive_model_point_csm_proxy_not_revaluation
fixed_cap_4pct,0.04,4.0,same 4% cap in every crediting year,8285.92272304021,31762.703771654138,40048.62649469435,40048.62649469435,135982.69632582425,135982.69632582425,0.0,623.0275726083086,0.0,136605.72389843254,136605.72389843254,176654.35039312692,64128.88029885939,0.0,64128.88029885939,64128.88029885939,9248.861470180125,93070.60172556192,102319.46319574204,102319.46319574204,10206.006898525471,644.171484090508,-5.733064816532923e-14,8.731149137020111e-11,0.0,0.0,0.0,284676.6758844236,242382.735714399,22599.153505405087,13840.786988484238,5853.999676135253,0.10043607103648913,0.10043607103648913,-41945.26319867387,221.4393296361204,False,4200,mc_conditional,b04e9c4af12217279839cd966b8ea22435f696dda9d6fcab7637de9d511d164f,dynamic,risk_neutral_time_zero_current_curve,False,10206.006898525471,10766.753293082056,0.9479187105627395,0.06,9560.001700940547,False,-41087.81959162061,4200,common_time_zero_q_sample,16231.041765158283,1211.6892186567304,12859.234501088375,7372.004253663937,0.0,8994.31767986874,4082.4027594101885,0.0,2834.0026448615345,4082.4027594101885,mass_lapse,MLL_LIFE_RISK_RESEARCH_PROXY_NOT_REGULATORY_CAPITAL,positive_model_point_csm_proxy_not_revaluation
fixed_cap_5pct,0.05,5.0,same 5% cap in every crediting year,8664.77897227273,33214.9860603788,41879.76503265153,41879.76503265153,142831.6581707599,142831.6581707599,0.0,574.6143051176462,0.0,143406.27247587754,143406.27247587754,185286.0375085291,61740.60090207521,0.0,61740.60090207521,61740.60090207521,9330.967941616564,114492.72324017216,123823.69118178873,123823.69118178873,-278.2545753348454,627.1582921010163,6.254941538264532e-13,1.0186340659856796e-10,0.0,0.0,0.0,294171.7342448495,250569.37358518408,24342.3262766771,12884.74414954466,6375.290233443597,0.09169646936035594,0.09169646936035594,-52429.524672534186,262.5685352143961,False,4200,mc_conditional,b04e9c4af12217279839cd966b8ea22435f696dda9d6fcab7637de9d511d164f,dynamic,risk_neutral_time_zero_current_curve,False,-278.2545753348454,9625.309830298267,-0.028908635694922136,0.06,-855.7731651527414,False,-51503.5944577139,4200,common_time_zero_q_sample,5592.035083807885,-8959.430811466216,2096.1686248075325,-2797.7307440570553,0.0,8681.17623613137,2519.47616872221,0.0,2519.47616872221,0.0,lapse_down,MLL_LIFE_RISK_RESEARCH_PROXY_NOT_REGULATORY_CAPITAL,positive_model_point_csm_proxy_not_revaluation
fixed_cap_6pct,0.06,6.0,same 6% cap in every crediting year,9026.422151498717,34601.28491407842,43627.70706557714,43627.70706557714,149469.88863333935,149469.88863333935,0.0,530.2407721270417,0.0,150000.12940546637,150000.12940546637,193627.83647104353,59236.78419687348,0.0,59236.78419687348,59236.78419687348,9408.950864780956,134780.88127935844,144189.83214413942,144189.83214413942,-9798.779869969367,610.7593586548211,-2.771252010937869e-13,8.731149137020111e-11,0.0,0.0,0.0,302758.64013633685,257873.10047285518,26100.044309002482,11900.393659650297,6885.101694828905,0.08332147183902888,0.08332147183902888,-61950.049967168714,304.2735715521044,False,4200,mc_conditional,b04e9c4af12217279839cd966b8ea22435f696dda9d6fcab7637de9d511d164f,dynamic,risk_neutral_time_zero_current_curve,False,-9798.779869969367,9231.861795300609,-1.0614088563324617,0.06,-10352.691577687403,False,-61000.51287024856,4200,common_time_zero_q_sample,-4181.624950132459,-18219.97506974204,-7689.264894343246,-12022.802801186734,0.0,8421.195199772672,2224.022931217367,0.0,2224.022931217367,0.0,lapse_down,MLL_LIFE_RISK_RESEARCH_PROXY_NOT_REGULATORY_CAPITAL,positive_model_point_csm_proxy_not_revaluation
fixed_cap_7pct,0.07,7.000000000000001,same 7% cap in every crediting year,9354.94301301949,35860.61488324138,45215.55789626088,45215.55789626088,155518.2471542116,155518.2471542116,0.0,492.99569038468667,0.0,156011.2428445963,156011.2428445963,201226.80074085714,56813.18057035902,0.0,56813.18057035902,56813.18057035902,9479.602712086822,153212.71577103366,162692.31848312047,162692.31848312047,-18278.69831262234,592.5957934111827,1.5304413820905167e-13,8.731149137020111e-11,0.0,0.0,0.0,310398.70945885207,264303.9679746752,27783.13756343677,10944.917439646686,7366.68648109351,0.07566653257534102,0.07566653257534102,-70429.96840982168,341.63956499064625,False,4200,mc_conditional,b04e9c4af12217279839cd966b8ea22435f696dda9d6fcab7637de9d511d164f,dynamic,risk_neutral_time_zero_current_curve,False,-18278.69831262234,8778.627019557669,-2.0821819029216884,0.06,-18805.415933795797,False,-69453.23722635696,4200,common_time_zero_q_sample,-12936.970867731707,-26358.854941396727,-16406.54681929937,-20240.60835143523,0.0,8080.156628774388,1961.91003881289,0.0,1961.91003881289,0.0,lapse_down,MLL_LIFE_RISK_RESEARCH_PROXY_NOT_REGULATORY_CAPITAL,positive_model_point_csm_proxy_not_revaluation
fixed_cap_8pct,0.08,8.0,same 8% cap in every crediting year,9636.775312313135,36940.972030533696,46577.74734284683,46577.74734284683,160729.00889415116,160729.00889415116,0.0,463.64256285508696,0.0,161192.65145700623,161192.65145700623,207770.3987998531,54511.946664031304,0.0,54511.946664031304,54511.946664031304,9540.131539347007,169223.45675142782,178763.58829077482,178763.58829077482,-25505.13615495307,574.6029292795668,-6.196338680248508e-13,1.0186340659856796e-10,0.0,0.0,0.0,316903.6388009181,269709.5889363559,29292.080711894418,10092.338960867723,7809.630191800072,0.06909053992556209,0.06909053992556209,-77656.4062521524,375.36510874663134,False,4200,mc_conditional,b04e9c4af12217279839cd966b8ea22435f696dda9d6fcab7637de9d511d164f,dynamic,risk_neutral_time_zero_current_curve,False,-25505.13615495307,8369.83145075602,-3.047269984468955,0.06,-26007.326041998433,False,-76655.14733455959,4200,common_time_zero_q_sample,-20338.201545792745,-33267.558974515836,-23833.46807786285,-27247.575519872164,0.0,7762.422819562766,1742.4393649190934,0.0,1742.4393649190934,0.0,lapse_down,MLL_LIFE_RISK_RESEARCH_PROXY_NOT_REGULATORY_CAPITAL,positive_model_point_csm_proxy_not_revaluation
fixed_cap_9pct,0.09,9.0,same 9% cap in every crediting year,9880.200635773212,37874.10243713065,47754.30307290385,47754.30307290385,165284.02977278436,165284.02977278436,0.0,439.4968277541884,0.0,165723.52660053855,165723.52660053855,213477.8296734424,52478.74669771558,0.0,52478.74669771558,52478.74669771558,9591.999759415741,182793.08036952387,192385.08012893962,192385.08012893962,-31385.99715321276,558.4925199523798,-2.383092665002637e-13,1.1641532182693481e-10,0.0,0.0,0.0,322180.09322910226,273962.2189629197,30665.412466755533,9361.818350593374,8190.6434488336,0.06363689541889277,0.06363689541889277,-83537.2672504121,406.375061069622,False,4200,mc_conditional,b04e9c4af12217279839cd966b8ea22435f696dda9d6fcab7637de9d511d164f,dynamic,risk_neutral_time_zero_current_curve,False,-31385.99715321276,8015.748001241011,-3.915541899315389,0.06,-31866.94203328722,False,-82514.76332584838,4200,common_time_zero_q_sample,-26400.980405424038,-38865.53716584776,-29876.628559535922,-32951.976982062,0.0,7479.540012635,1565.9798288492384,0.0,1565.9798288492384,0.0,lapse_down,MLL_LIFE_RISK_RESEARCH_PROXY_NOT_REGULATORY_CAPITAL,positive_model_point_csm_proxy_not_revaluation
