cap,cap_percent,anchored_time_zero_csm,anchored_time_zero_mll_capital,anchored_time_zero_csm_to_mll_ratio,anchored_time_zero_csm_minus_lambda_mll,mll_capital_charge_rate,policy_class_support_value,observed_exploration_path_count,selected_by_best_fitted_candidate,selected_in_time_zero_flexibility_value,fixed_primary_objective_comparator_binding,estimator,oos
0.0025,0.25,103840.38066340989,45213.133927701914,2.2966861980736817,101127.59262774777,0.06,103840.38066340989,208,True,True,False,fixed_anchored_full_sample_action_cell_mean,False
0.01,1.0,101026.35189905815,43986.70557946622,2.2967474051118537,98387.14956429017,0.06,101026.35189905815,194,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.02,2.0,100987.85305161985,43829.07749487413,2.304129103867872,98358.1084019274,0.06,100987.85305161985,203,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.03,3.0,98839.94878912807,42949.54080725458,2.3013039704590526,96262.9763406928,0.06,98839.94878912807,195,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.04,4.0,98896.36653812093,42872.345210691215,2.3067636270445693,96324.02582547946,0.06,98896.36653812093,212,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.05,5.0,98922.55647829047,42710.23641251665,2.3161322621314326,96359.94229353947,0.06,98922.55647829047,200,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.06,6.0,96928.21372670066,41931.67749692929,2.311574912160355,94412.31307688491,0.06,96928.21372670066,209,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.07,7.000000000000001,97214.83216087216,41971.99757001056,2.316183117058341,94696.51230667153,0.06,97214.83216087216,204,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.08,8.0,97656.47674023632,42027.72348249761,2.3236204259530076,95134.81333128647,0.06,97656.47674023632,195,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.09,9.0,97633.49739922956,42138.31681148756,2.316976680298088,95105.1983905403,0.06,97633.49739922956,204,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.1,10.0,96049.61382369978,41456.50459896609,2.3168768026355804,93562.22354776181,0.06,96049.61382369978,200,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.11,11.0,95852.6383001349,41532.78737444938,2.3078787714378795,93360.67105766793,0.06,95852.6383001349,201,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.12,12.0,96561.74851252322,41750.46631177605,2.3128304194601825,94056.72053381665,0.06,96561.74851252322,197,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.13,13.0,98005.1669410094,42353.09401730991,2.314002535468937,95463.98129997081,0.06,98005.1669410094,205,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.14,14.000000000000002,97007.76889640445,41971.597256013396,2.311271794225221,94489.47306104365,0.06,97007.76889640445,212,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.15,15.0,97302.51800204645,41994.05304154772,2.3170547007162683,94782.87481955359,0.06,97302.51800204645,197,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.16,16.0,98113.9072554879,42402.18967191525,2.313887750011006,95569.77587517299,0.06,98113.9072554879,194,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.17,17.0,97282.5431978541,42125.991641700384,2.309323517539571,94754.98369935207,0.06,97282.5431978541,192,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.18,18.0,98046.0017337997,42341.320189303035,2.3156104083540057,95505.52252244152,0.06,98046.0017337997,185,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.19,19.0,97952.95603740973,42427.051536332736,2.308738233990334,95407.33294522978,0.06,97952.95603740973,198,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
0.2,20.0,96110.97214111048,41630.695011691125,2.308656440016668,93613.13044040902,0.06,96110.97214111048,195,False,False,False,fixed_anchored_full_sample_action_cell_mean,False
