row_type,component,display_label,best_fixed_value_aud,flexible_value_aud,flexible_minus_best_fixed_aud,best_fixed_is_binding_lapse,flexible_is_binding_lapse,best_fixed_binding_lapse_stress,flexible_binding_lapse_stress,mass_lapse_rate,capital_materiality_aud,mll_correlation_matrix,mll_correlation_source,mll_framework,mass_lapse_method,formula,additivity_note,source_component,correlated_mll_shapley_effect_aud,mll_charge_shapley_effect_aud,capital_adjusted_csm_shapley_effect_aud,mll_waterfall_order,mll_waterfall_role,mll_waterfall_method,mll_waterfall_permutation_count,mll_shapley_reconciliation_target_aud,mll_shapley_effect_sum_aud,mll_shapley_reconciliation_gap_aud
base_csm,base_csm,Base CSM,52151.27009719935,103840.38066340989,51689.11056621054,,,mass_lapse,mass_lapse,0.4,32.008143,"[[1.0,-0.25,0.0],[-0.25,1.0,0.25],[0.0,0.25,1.0]]","CapitalStresses.corr_life[mortality,longevity,lapse]",MLL_LIFE_RISK_RESEARCH_PROXY_NOT_REGULATORY_CAPITAL,positive_model_point_csm_proxy_not_revaluation,fee income + other income - claims - costs,Base for each adverse stress loss.,,,,,,,,,,,
stress_csm,mortality_stressed_csm,Mortality-stressed CSM,58845.58415148169,110327.89641528515,51482.31226380346,,,mass_lapse,mass_lapse,0.4,32.008143,"[[1.0,-0.25,0.0],[-0.25,1.0,0.25],[0.0,0.25,1.0]]","CapitalStresses.corr_life[mortality,longevity,lapse]",MLL_LIFE_RISK_RESEARCH_PROXY_NOT_REGULATORY_CAPITAL,positive_model_point_csm_proxy_not_revaluation,stressed CSM on each alternative's reported Time-0 valuation basis,"Input to max(0, base CSM - stressed CSM); not additive. The flexible value is a fixed-anchored fitted-Q estimate.",,,,,,,,,,,
stress_csm,longevity_stressed_csm,Longevity-stressed CSM,42536.89738805533,93565.1888042181,51028.29141616276,,,mass_lapse,mass_lapse,0.4,32.008143,"[[1.0,-0.25,0.0],[-0.25,1.0,0.25],[0.0,0.25,1.0]]","CapitalStresses.corr_life[mortality,longevity,lapse]",MLL_LIFE_RISK_RESEARCH_PROXY_NOT_REGULATORY_CAPITAL,positive_model_point_csm_proxy_not_revaluation,stressed CSM on each alternative's reported Time-0 valuation basis,"Input to max(0, base CSM - stressed CSM); not additive. The flexible value is a fixed-anchored fitted-Q estimate.",,,,,,,,,,,
stress_csm,lapse_up_stressed_csm,Lapse-up-stressed CSM,55782.67829775095,111449.39035224952,55666.712054498574,,,mass_lapse,mass_lapse,0.4,32.008143,"[[1.0,-0.25,0.0],[-0.25,1.0,0.25],[0.0,0.25,1.0]]","CapitalStresses.corr_life[mortality,longevity,lapse]",MLL_LIFE_RISK_RESEARCH_PROXY_NOT_REGULATORY_CAPITAL,positive_model_point_csm_proxy_not_revaluation,stressed CSM on each alternative's reported Time-0 valuation basis,"Input to max(0, base CSM - stressed CSM); not additive. The flexible value is a fixed-anchored fitted-Q estimate.",,,,,,,,,,,
stress_csm,lapse_down_stressed_csm,Lapse-down-stressed CSM,48181.97382718561,106711.61599573775,58529.64216855214,,,mass_lapse,mass_lapse,0.4,32.008143,"[[1.0,-0.25,0.0],[-0.25,1.0,0.25],[0.0,0.25,1.0]]","CapitalStresses.corr_life[mortality,longevity,lapse]",MLL_LIFE_RISK_RESEARCH_PROXY_NOT_REGULATORY_CAPITAL,positive_model_point_csm_proxy_not_revaluation,stressed CSM on each alternative's reported Time-0 valuation basis,"Input to max(0, base CSM - stressed CSM); not additive. The flexible value is a fixed-anchored fitted-Q estimate.",,,,,,,,,,,
standalone_loss,mortality_loss,Mortality loss,0.0,0.0,0.0,,,mass_lapse,mass_lapse,0.4,32.008143,"[[1.0,-0.25,0.0],[-0.25,1.0,0.25],[0.0,0.25,1.0]]","CapitalStresses.corr_life[mortality,longevity,lapse]",MLL_LIFE_RISK_RESEARCH_PROXY_NOT_REGULATORY_CAPITAL,positive_model_point_csm_proxy_not_revaluation,"max(0, base CSM - mortality-stressed CSM)",Standalone MLL module before correlation aggregation.,,,,,,,,,,,
standalone_loss,longevity_loss,Longevity loss,9614.372709144016,10275.191859191793,660.8191500477769,,,mass_lapse,mass_lapse,0.4,32.008143,"[[1.0,-0.25,0.0],[-0.25,1.0,0.25],[0.0,0.25,1.0]]","CapitalStresses.corr_life[mortality,longevity,lapse]",MLL_LIFE_RISK_RESEARCH_PROXY_NOT_REGULATORY_CAPITAL,positive_model_point_csm_proxy_not_revaluation,"max(0, base CSM - longevity-stressed CSM)",Standalone MLL module before correlation aggregation.,,,,,,,,,,,
lapse_candidate_loss,lapse_up_loss,Lapse-up loss,0.0,0.0,0.0,False,False,mass_lapse,mass_lapse,0.4,32.008143,"[[1.0,-0.25,0.0],[-0.25,1.0,0.25],[0.0,0.25,1.0]]","CapitalStresses.corr_life[mortality,longevity,lapse]",MLL_LIFE_RISK_RESEARCH_PROXY_NOT_REGULATORY_CAPITAL,positive_model_point_csm_proxy_not_revaluation,"max(0, base CSM - lapse-up-stressed CSM)",Lapse candidate; only the maximum enters the lapse module.,,,,,,,,,,,
lapse_candidate_loss,lapse_down_loss,Lapse-down loss,3969.296270013736,0.0,-3969.296270013736,False,False,mass_lapse,mass_lapse,0.4,32.008143,"[[1.0,-0.25,0.0],[-0.25,1.0,0.25],[0.0,0.25,1.0]]","CapitalStresses.corr_life[mortality,longevity,lapse]",MLL_LIFE_RISK_RESEARCH_PROXY_NOT_REGULATORY_CAPITAL,positive_model_point_csm_proxy_not_revaluation,"max(0, base CSM - lapse-down-stressed CSM)",Lapse candidate; only the maximum enters the lapse module.,,,,,,,,,,,
lapse_candidate_loss,mass_lapse_loss,Mass-lapse proxy,20860.50803887974,41536.152265363955,20675.644226484215,True,True,mass_lapse,mass_lapse,0.4,32.008143,"[[1.0,-0.25,0.0],[-0.25,1.0,0.25],[0.0,0.25,1.0]]","CapitalStresses.corr_life[mortality,longevity,lapse]",MLL_LIFE_RISK_RESEARCH_PROXY_NOT_REGULATORY_CAPITAL,positive_model_point_csm_proxy_not_revaluation,40% x sum of positive model-point CSM,Lapse candidate; only the maximum enters the lapse module.,,,,,,,,,,,
